port,bytes,packets
53,1371,8
3306,144,25
22,27568,248
143,1874,93
3306,1190,41
53,4854,6
22,4826,31
22,965,3
53,1341,40
443,631,31
443,3587,22
22,1775,8
80,280108,921
80,3481,29
80,3063,5
22,1947,10
53,1670,17
22,2941,11
80,3546,15
80,3718,9
443,2201,17
80,3813,41
80,261126,943
23,2399,77
443,2936,8
80,3944,39
443,427861,438
53,3047,2
443,2960,47
443,497393,647
22,1301,44
53,4838,22
3306,981,23
3306,2184,37
53,987,37
22,2012,15
22,1770,37
443,3116,23
3306,485,15
53,3597,94
443,1995,8
22,4647,8
80,134057,1116
53,3789,41
53,2142,38
3306,1301,29
80,4968,1
53,744,18
443,365850,369
80,140412,1072
3306,2130,8
22,139,43
443,670401,309
53,1333,18
22,4959,26
53,824,20
80,1987,28
143,4586,98
53,2836,39
22,1557,1
80,3875,6
53,1062,33
3306,2985,12
22,727,12
22,1390,7
53,3081,31
80,195535,1268
443,421437,315
53,2590,40
53,1399,34
22,3041,19
22,35699,195
3306,4269,25
53,2196,5
80,4546,15
443,316,26
443,647421,530
80,4517,13
443,395847,408
80,261199,1302
3306,459,10
3306,3129,19
3306,219,45
80,167959,1452
22,47613,247
443,1153,30
80,2268,9
3306,885,1
3306,4230,38
443,1731,22
22,3735,14
3306,1451,12
80,898,37
443,529,11
22,440,34
443,2956,37
20,4371,72
3306,1503,47
443,3894,46
53,1912,45
53,2529,1
3306,2876,47
22,48492,197
80,1118,15
80,3260,48
53,1399,13
80,4475,41
80,756,9
80,4785,21
53,3302,19
3306,1130,39
443,3461,18
22,4835,37
443,857,45
3306,2016,39
443,2096,12
3306,1801,47
443,3435,8
22,2320,24
443,672047,589
53,2268,21
443,1868,26
443,929,31
53,3534,32
22,3926,37
80,143719,1083
22,34341,205
3306,3011,6
53,1052,23
80,243779,1296
110,3772,115
3306,1588,41
443,4866,25
110,3493,111
53,242,8
22,4910,3
21,3230,79
443,332473,515
23,3728,77
443,4404,33
143,2017,107
53,1780,20
443,1179,25
80,4971,47
53,1875,50
443,617227,683
443,4906,38
22,1587,20
22,4941,29
22,59065,193
22,38725,250
53,1539,5
22,978,21
22,41494,188
53,3824,37
53,647,14
23,1790,67
53,2729,20
3306,4052,10
22,3365,44
3306,1372,26
22,2937,11
22,56120,200
80,1918,37
53,1975,24
22,2805,25
3306,759,23
22,2284,48
110,1028,94
3306,3418,4
53,3241,7
80,3552,23
22,2062,18
3306,3385,49
80,3998,13
443,4852,1
443,4028,13
80,1917,20
22,3003,46
53,3226,36
22,3361,5
80,267417,1037
3306,1763,17
443,582058,514
3306,2110,41
22,2209,17
443,3707,47
53,4385,40
3306,4923,11
443,3828,3
80,3818,41
22,39331,191
80,4895,41
80,430,3
80,238045,1046
22,1351,3
80,202049,1077
443,1982,40
80,139282,1398
53,3218,47
443,3827,45
443,2059,41
80,212470,1054
80,1919,15
80,2751,15
80,1122,31
443,612445,643
80,4297,48
3306,1735,22
3306,2122,2
80,3447,18
53,3078,112
22,34947,190
22,3415,15
22,1894,35
53,4289,120
443,531,44
22,3552,43
80,178684,1068
53,2215,48
22,1254,24
443,4513,36
80,1735,9
3306,707,23
443,538455,514
80,4506,119
3306,3209,30
3306,392,44
22,2528,18
443,978,11
53,3751,7
22,36015,194
20,4068,111
443,2911,19
22,25785,229
22,3146,49
80,4891,26
53,2665,19
53,3682,8
80,273193,988
80,4255,34
22,1619,33
22,573,17
3306,2101,34
80,130681,973
22,46277,181
443,3467,41
22,4737,8
22,57353,227
443,404,23
22,1886,18
53,1722,4
22,1005,20
443,409,10
443,4948,34
53,124,15
53,2130,19
80,1055,10
80,110,33
22,4103,27
53,2513,9
22,1222,3
53,4084,38
443,511932,482
80,3466,22
443,2420,33
3306,809,35
3306,2230,5
3306,899,24
443,1056,27
80,1297,18
53,1025,23
3306,3840,20
22,2170,28
443,2624,7
443,4222,31
3306,1817,8
443,427707,537
443,1512,39
22,4709,69
443,1997,47
443,1593,14
53,859,44
53,3138,38
443,4650,31
22,1406,20
80,894,21
80,1300,4
53,4582,19
3306,4328,32
53,1130,6
443,988,23
25,3241,114
3306,267,15
53,804,6
80,357,7
443,4614,41
80,288204,1453
22,1839,9
53,4973,12
80,122037,1392
143,1475,105
443,4843,5
22,3376,28
80,3002,13
443,4371,33
53,3159,7
443,2992,108
22,58617,224
80,3004,28
443,2644,48
20,4317,90
22,4907,13
80,187320,1298
443,2983,19
3306,4010,46
80,144930,987
53,2309,34
80,148817,1465
110,3535,102
53,4103,11
3306,4487,1
3306,4457,1
3306,4158,28
22,503,31
53,3617,33
443,1890,17
53,4639,35
80,3846,3
22,1841,24
22,33336,194
143,4586,69
22,44783,192
53,1577,27
443,172,10
3306,287,42
22,46994,225
53,1785,38
80,4172,6
443,4515,40
443,1481,30
53,3372,5
53,3019,33
80,100875,1431
80,1627,70
3306,3608,46
22,1194,36
22,732,38
22,4592,22
3306,2711,4
443,435811,302
443,683229,373
53,1817,45
80,4692,9
22,39230,180
3306,2360,20
80,2107,43
3306,1343,36
53,3851,28
20,1827,114
3306,2194,48
3306,4236,24
22,3166,36
53,4657,24
53,2715,29
80,239503,1149
443,2318,22
53,3544,36
22,32978,201
53,3966,34
80,2269,11
443,2965,38
53,4995,22
3306,4488,37
53,1389,9
22,3730,18
80,511,48
80,3475,5
22,29581,243
22,2123,43
3306,2413,32
3306,681,2
3306,762,12
53,3991,34
3306,1249,50
22,29002,193
53,4104,45
443,652060,312
22,2590,83
3306,3070,38
80,1259,20
21,4491,118
22,57650,246
53,3919,49
3306,2493,50
443,2597,1
3306,2863,1
3306,4631,21
443,3596,47
53,200,40
110,2429,115
22,3196,41
80,2772,37
22,50579,242
53,3282,16
3306,3890,5
22,1206,22
80,760,9
22,740,32
80,1093,43
22,40967,206
53,3807,24
443,917,34
443,613,17
443,2152,19
80,165597,1222
53,3849,6
80,162472,1135
443,2327,8
80,2827,13
53,4030,3
443,887,31
53,886,41
22,4922,49
22,1627,31
443,4061,42
443,961,7
80,2856,49
443,2490,24
3306,1749,1
443,329066,598
22,795,9
443,2777,35
80,1878,18
443,266,50
53,110,6
53,2612,12
53,3134,4
53,979,15
443,536794,408
53,1958,7
22,3946,32
3306,2288,19
53,3925,40
3306,1128,16
80,1821,34
22,915,7
22,4364,71
80,3307,5
53,4314,32
22,3901,32
443,4640,26
443,1127,37
443,1269,2
80,701,33
3306,4069,22
80,288014,1327
22,47532,249
443,2201,37
3306,280,47
443,375567,550
22,53055,217
443,515879,690
443,4127,22
80,171864,1322
3306,2711,27
22,47547,244
443,379,25
80,198902,1411
3306,620,35
53,1830,12
80,490,24
3306,4648,39
53,2344,14
443,599584,448
25,3112,106
22,4948,13
3306,608,47
3306,4727,29
22,3877,40
3306,3623,2
443,3004,41
21,4375,61
80,298421,1226
443,1789,99
53,2483,15
22,2192,26
53,962,11
443,323324,521
53,2586,8
3306,3259,39
22,37235,204
22,3212,34
22,422,14
443,1795,49
80,510,23
3306,2810,33
443,1887,43
23,3549,68
443,663478,321
53,4624,32
443,4111,68
443,1353,7
443,4212,20
80,514,19
80,1139,41
80,2535,49
53,1056,13
443,2852,36
443,1298,30
22,1738,6
53,1994,42
443,2394,29
3306,2930,25
443,546260,505
22,1965,2
80,1729,40
53,3224,4
53,2860,7
3306,2141,12
443,174,28
443,2028,46
22,54253,222
80,213685,1325
53,2219,48
443,1106,33
3306,4159,14
80,302,7
22,1222,2
80,2902,44
22,4619,34
53,2600,27
80,286502,1492
22,37115,181
53,3058,26
443,384555,555
22,3279,39
3306,2016,44
53,1405,33
443,4629,37
80,212559,1189
3306,2082,43
22,3225,35
443,3493,44
443,1982,26
80,188175,1445
3306,1985,24
3306,1772,40
80,3124,20
53,915,28
80,1202,34
80,4993,39
80,3261,27
3306,2250,8
443,2801,19
22,30133,239
22,46053,190
22,25576,181
53,3764,42
53,4700,43
80,286149,1282
443,625496,560
53,1398,4
443,547676,488
80,3556,20
80,4671,11
22,50444,207
80,229256,1276
443,2964,20
443,2667,37
80,3152,18
3306,3960,44
53,3356,15
53,2183,47
80,2591,4
53,3218,37
53,784,48
53,489,44
22,59718,222
22,2269,2
3306,422,12
80,1606,13
53,4372,17
443,2635,33
53,4836,23
80,1133,45
443,1742,24
80,1721,36
443,453826,302
80,1063,35
80,255,42
3306,753,38
22,954,25
3306,2060,30
22,4153,33
22,3090,39
53,1719,45
443,4618,21
3306,4106,27
443,4686,17
443,3615,17
80,3555,20
3306,4083,24
80,2463,7
443,351258,347
3306,497,10
443,1545,11
53,2691,17
22,3223,42
22,34730,203
53,160,47
80,185011,942
80,3961,49
53,1612,13
53,3624,8
3306,520,24
22,1073,45
3306,2042,28
22,4064,45
53,3518,45
443,2885,17
80,1315,11
53,2146,22
3306,3929,41
3306,4635,18
53,4546,2
80,2303,41
443,626490,413
53,4177,45
80,355,25
22,1680,34
143,2158,109
53,1839,44
22,2826,40
443,2417,25
80,254054,1092
22,984,42
22,3794,49
3306,3103,4
22,4992,31
53,1512,30
443,343145,671
53,4579,48
443,2530,7
443,3475,39
3306,3631,1
80,241510,1117
22,30849,183
3306,2574,16
3306,563,3
3306,3474,28
3306,1623,16
3306,2932,23
53,2235,61
443,1999,3
443,403,25
22,4635,30
53,4274,8
53,3513,14
53,4214,47
22,4989,48
22,3212,23
80,1824,35
3306,1989,14
22,4836,11
22,651,13
80,230771,1412
443,347299,528
443,976,30
53,4429,25
22,860,31
80,258738,1302
53,3927,28
443,989,50
443,1424,32
3306,3437,11
110,4903,110
3306,4601,12
22,1715,13
3306,1541,49
3306,3657,2
80,4882,18
22,2528,34
53,3142,33
53,213,4
53,997,1
80,555,22
22,30932,227
53,501,7
22,4110,40
80,256,48
22,386,18
443,2818,5
80,3621,41
53,246,30
22,2573,41
80,3526,24
443,4017,9
80,2765,19
53,4468,49
22,3789,34
22,45661,218
22,1092,8
443,4584,4
23,4991,63
110,3456,82
22,4443,8
443,319524,309
22,28163,232
3306,1504,8
443,466695,644
80,1392,37
80,181,23
443,3658,38
443,1934,20
443,4050,25
443,4693,21
3306,630,14
80,178263,966
53,2474,1
53,374,25
443,3303,8
443,811,25
22,3330,10
80,1408,28
22,1619,37
53,3310,49
53,3416,3
53,2814,18
25,4869,95
3306,2971,14
80,294,38
53,3090,47
443,204,44
443,4256,5
443,2551,10
80,2437,12
443,4147,29
53,4447,17
22,1906,41
443,3693,18
443,2556,11
80,243938,1217
443,2208,48
443,4871,4
80,4992,42
3306,775,27
53,2619,42
22,2801,18
53,1470,17
3306,2155,29
443,2090,31
443,832,47
443,352124,540
443,979,4
80,870,27
22,1436,65
53,2565,18
80,1620,11
80,212642,1463
443,2773,6
3306,2835,17
53,2176,28
21,3645,96
22,1083,8
443,3544,43
22,3409,16
22,3831,26
80,3920,26
443,343499,546
80,392,18
22,235,46
53,2921,17
443,4134,43
3306,4547,31
80,3059,2
3306,3819,19
443,3915,50
443,212,1
443,1312,33
443,4878,37
53,180,40
53,891,16
53,142,47
443,640539,640
443,3778,87
443,3356,31
22,32737,190
443,4658,6
443,1488,6
3306,465,10
443,2367,1
3306,115,13
80,3499,7
80,243962,1470
3306,2498,4
443,2587,36
53,3803,79
443,302,18
443,301405,303
3306,902,24
53,4542,3
443,2632,81
80,1941,29
443,329110,667
53,4794,39
443,1689,41
443,322028,439
443,3044,4
443,1036,1
80,1766,30
22,45024,237
443,697003,681
22,2805,40
80,590,26
443,2575,32
443,1525,32
443,512832,677
22,2632,32
3306,4810,23
22,4005,21
3306,1484,39
80,2964,33
3306,789,31
80,1995,41
443,1871,74
22,4174,25
80,122813,955
25,4109,66
3306,1183,14
443,4363,1
3306,2963,47
80,1335,89
53,1534,47
3306,3677,9
443,645981,672
443,4423,8
53,539,50
22,56565,200
443,678503,571
443,497013,301
80,127030,1211
22,957,33
80,454,18
80,1553,39
443,4511,41
3306,565,26
443,355976,454
53,3248,13
22,45167,202
3306,2722,17
22,1328,28
443,3832,14
3306,4364,1
80,3127,26
22,2458,20
3306,4287,16
20,1847,114
80,4766,7
3306,427,7
443,4010,24
23,4335,91
3306,1041,20
80,3242,2
22,4864,49
80,2973,46
53,3408,12
53,4166,8
53,3642,47
443,467706,347
80,159206,1241
80,265412,1495
3306,3695,48
443,4723,10
443,2474,27
3306,3740,25
53,1803,29
3306,3023,48
53,2905,33
22,2193,31
443,1315,19
80,1310,28
25,1059,94
22,1335,10
443,1616,41
22,4411,42
22,4836,35
80,177,47
3306,1623,24
80,228366,1227
22,2747,43
53,1227,9
3306,4630,19
20,4481,65
80,479,26
3306,2161,38
80,1527,17
22,44682,236
143,1421,67
53,288,8
3306,1596,22
22,148,39
443,2685,6
3306,4121,19
80,3744,18
3306,875,47
53,890,38
143,4800,106
3306,2925,10
443,692387,623
22,4297,42
443,1096,7
443,525115,504
80,2872,5
80,4397,3
443,4446,29
443,4154,34
3306,4841,35
22,31358,189
80,4207,30
53,173,29
3306,1783,5
22,55982,244
443,3617,25
443,1049,15
3306,571,21
443,4998,9
22,4451,37
22,2255,29
22,3525,50
22,2234,6
80,3881,6
22,4361,41
80,447,49
80,4250,13
80,4374,49
22,1187,38
443,422128,469
443,3676,37
22,972,48
22,4825,35
22,2363,3
80,1278,19
80,151971,1406
443,3727,7
3306,1582,18
443,422182,409
22,42122,235
443,3800,14
53,3179,41
443,3288,5
53,1165,47
443,1870,39
443,2395,47
443,2816,42
3306,4689,37
53,1768,36
22,3984,8
443,880,19
80,1144,26
443,2830,17
80,193146,1413
443,190,18
22,39864,184
443,4565,29
22,25534,190
80,733,46
25,4101,64
23,1124,88
443,4909,22
53,466,30
80,263175,1332
443,429060,429
80,2066,49
443,1508,32
53,1241,34
53,2278,70
80,111,44
22,39233,242
22,2630,21
22,3354,18
443,173,7
22,1935,44
22,4986,18
443,346309,611
53,3578,14
53,1797,50
443,343,40
3306,3157,29
443,2444,13
22,41228,191
80,2966,9
53,4229,17
80,2690,13
22,3773,17
22,2283,23
80,274495,1386
53,4173,95
3306,992,31
80,1937,45
443,659,12
53,462,20
80,676,24
22,4687,119
443,2157,29
53,852,2
3306,3785,20
3306,4507,48
22,120,42
80,114,28
80,765,10
53,954,48
3306,4080,16
443,2004,28
3306,2836,36
80,4931,30
53,482,10
53,1631,46
3306,1236,47
22,4207,9
80,1622,36
3306,4544,41
22,4726,43
80,213359,995
443,2374,35
22,1992,33
80,128965,934
22,2321,24
80,3299,27
22,3638,42
80,2706,34
53,4911,36
443,1348,11
80,2245,14
53,1062,40
22,1047,9
80,140379,1050
80,1713,27
3306,2693,49
53,3391,38
22,4533,10
22,1001,46
23,2566,115
22,3141,12
3306,1540,4
443,343170,700
22,3510,13
3306,3305,49
443,4979,11
443,1178,15
443,458093,612
22,2820,34
53,2205,27
3306,401,25
22,2081,46
22,44758,211
22,4805,44
22,925,27
21,4385,66
3306,198,45
3306,718,35
3306,2116,44
3306,3978,47
443,1156,20
443,2658,12
3306,2401,30
53,1043,5
53,4810,8
22,4338,47
22,3865,45
3306,1956,23
3306,2467,27
3306,1546,6
443,452513,398
3306,1401,23
80,1594,18
443,1113,37
80,2644,37
22,4724,39
22,3024,14
80,1108,26
22,1097,5
443,3824,39
443,3441,38
22,1084,30
443,2472,28
22,55354,247
80,3784,5
3306,4978,25
22,4790,44
53,405,26
22,41355,241
22,423,27
22,2390,25
22,1069,28
22,4136,26
23,1386,99
22,54144,219
443,424911,618
22,443,6
53,3423,43
22,4013,29
80,4547,41
80,3412,29
443,341,27
443,624600,381
80,209179,1464
3306,3203,41
53,1646,45
80,103083,1161
80,3193,5
80,3206,50
3306,2026,15
80,3687,46
3306,3862,17
53,2341,30
22,1657,47
22,4809,45
3306,1727,35
443,345586,587
443,321879,315
22,1745,45
443,4877,15
3306,2073,12
25,3374,65
443,1189,25
80,1629,14
3306,3708,13
22,41873,186
443,4313,29
443,582202,396
80,3530,26
443,2725,8
53,4223,22
22,3506,20
22,414,13
3306,1012,3
3306,2475,1
22,3237,12
22,2403,49
3306,197,50
80,286,13
443,2705,3
443,510101,671
443,838,10
22,4888,44
80,1007,27
22,43200,247
110,1036,109
3306,2071,49
443,331626,602
80,209241,1218
80,2308,41
443,2111,16
3306,1326,38
80,905,10
22,346,33
443,2612,44
80,3606,5
3306,279,7
22,35545,213
53,2933,7
22,2470,37
443,3825,20
80,475,2
53,4373,33
53,4782,37
3306,2965,35
80,3840,43
3306,1742,29
80,3854,3
80,251558,1317
80,209586,1201
443,2812,9
3306,3341,43
22,37906,217
443,2831,44
3306,4336,46
443,4621,22
22,177,10
443,576848,659
53,460,8
443,3984,39
22,4822,19
53,1979,50
80,3997,22
80,4221,41
22,4775,62
443,4426,44
53,3984,10
3306,2347,28
3306,1288,16
53,1717,42
53,178,49
22,2390,48
443,3817,29
22,410,25
53,1029,34
443,509829,549
3306,942,10
80,1213,37
443,4468,48
22,35169,248
22,1534,29
3306,2823,29
443,515221,400
22,51522,247
443,2165,33
3306,4309,29
53,595,16
3306,4347,26
22,3718,31
3306,887,23
22,4957,32
443,438,11
443,900,43
3306,2573,13
3306,2196,35
80,194516,1362
443,696727,609
3306,3618,39
443,346,45
3306,1889,8
3306,2415,32
22,968,17
443,4630,18
3306,4324,46
22,36907,191
443,3640,5
443,2989,7
443,2528,72
53,4835,15
22,58476,190
3306,423,45
53,3907,34
22,2990,5
3306,3128,1
443,4682,21
22,2652,49
80,157382,1061
3306,2004,24
80,4769,13
25,4718,78
443,426583,366
80,151892,1278
80,574,16
443,3132,3
22,3247,20
53,1172,3
3306,4927,21
443,3373,45
3306,2888,2
80,2577,41
53,3058,26
80,3652,34
22,3196,35
143,2403,65
22,32904,201
3306,4385,47
22,2049,44
53,958,35
80,2292,41
443,2160,47
53,2785,38
22,46581,234
22,4747,32
53,541,47
22,52752,224
80,3657,50
3306,3283,12
443,1043,29
443,2714,27
3306,2069,19
3306,3547,21
443,868,13
53,2526,30
80,1547,35
80,3811,5
53,4738,34
80,1319,13
443,1648,20
443,373084,570
22,959,16
80,137679,1458
53,3974,85
443,2221,44
22,33469,233
3306,3624,38
80,3778,20
22,2286,19
3306,1010,30
22,3074,6
53,4219,45
22,47917,189
80,4112,10
53,2633,5
53,3226,15
3306,1893,26
20,4803,113
53,4665,42
22,2663,32
80,2901,27
53,592,13
443,589075,313
3306,3506,50
3306,2149,46
3306,3067,2
22,1852,33
80,345,21
3306,2058,16
22,290,20
53,2681,42
80,1503,37
3306,1856,31
443,3173,1
443,342020,631
3306,4547,41
53,877,48
443,374,18
110,2086,75
22,40506,225
53,4924,39
53,423,25
443,2813,6
53,593,27
80,436,32
3306,1069,48
22,3280,16
53,2881,48
80,292384,1349
53,2066,31
3306,3853,45
22,2700,20
80,4196,35
443,566,28
22,1958,23
80,123543,1090
80,2331,6
25,1668,66
53,1132,49
25,3737,91
22,49579,183
22,4473,43
22,32830,233
443,655899,645
22,562,30
3306,3535,12
80,3352,2
80,1506,21
53,1406,9
53,3264,46
443,4001,20
3306,3313,34
80,2599,45
443,190,46
25,3435,110
22,504,47
80,3429,40
3306,658,21
443,2545,19
443,294,2
80,4419,25
3306,1578,39
53,2072,8
3306,806,4
22,1071,38
3306,282,15
3306,4891,41
3306,4697,38
22,3992,39
53,1378,42
22,34805,212
443,403160,540
22,1634,8
53,4019,46
22,38949,244
22,1353,41
53,3230,3
22,1327,99
443,813,12
53,3036,43
22,4920,18
3306,872,26
3306,2321,28
22,3495,43
22,1115,25
80,971,18
80,241229,1237
443,4396,79
443,963,1
22,4299,9
3306,105,29
443,2091,13
53,3758,24
443,3100,33
80,4868,105
22,3369,22
443,2496,33
80,4514,43
80,154,5
22,46342,244
53,3312,13
3306,591,13
22,3583,40
3306,4346,50
22,3811,32
80,158111,1017
53,4219,45
443,692821,672
3306,1436,47
443,4969,6
3306,2795,8
53,2934,30
22,1334,8
443,1600,38
53,4275,29
3306,3779,2
3306,1127,22
53,3299,6
3306,4996,48
443,4804,4
443,3081,108
23,1246,68
80,608,40
22,4976,26
80,4526,21
22,2446,64
53,2541,20
443,2454,6
3306,1743,36
80,2191,35
80,1348,28
80,2804,26
3306,4800,33
53,501,22
443,4309,30
53,925,21
3306,2687,42
22,1060,41
22,779,3
22,28663,214
53,4361,19
22,48173,237
443,730,36
53,4159,37
53,1030,78
3306,2499,40
22,1122,15
80,116847,1035
3306,1668,39
22,2949,15
21,2309,106
3306,418,50
443,1669,48
22,3165,49
443,1421,27
3306,3878,27
22,56815,196
443,2163,20
443,2749,45
443,2089,1
80,1097,25
443,1608,27
3306,2126,36
3306,3230,48
53,4378,6
22,45331,230
53,1337,39
443,2321,25
3306,2052,33
3306,1873,31
80,272653,1004
3306,4638,24
443,2702,41
80,4369,13
80,3545,31
53,1945,46
53,3443,14
3306,4516,44
80,3108,46
22,3244,11
443,2957,13
3306,2979,13
22,2666,42
3306,2118,45
22,4714,40
21,4520,95
80,1195,41
3306,4000,18
53,1384,26
3306,4276,41
80,1950,25
80,1179,37
3306,3605,45
53,764,42
53,268,37
3306,2508,36
22,2203,22
3306,747,28
22,3729,45
3306,1131,38
443,4551,39
80,141568,1388
53,3265,82
443,791,22
3306,3635,1
443,4566,10
80,1644,34
443,3095,21
443,2689,32
443,3575,40
443,2974,1
80,4119,49
443,3473,31
80,274869,1320
53,4784,1
22,32165,183
53,4080,18
3306,3310,43
443,330259,532
80,286200,1160
53,2794,33
443,1768,33
80,3077,30
80,1394,19
443,384767,685
3306,811,39
443,3576,34
80,3315,2
53,2934,9
53,650,13
80,373,14
443,839,13
22,47454,211
53,1124,31
80,928,31
443,1302,8
80,1743,48
443,474759,534
3306,4188,29
443,1556,16
80,3384,40
22,48576,236
53,2444,37
3306,3481,46
22,2984,32
22,1755,4
443,2663,2
3306,4975,21
53,3011,6
53,2494,40
53,3695,29
3306,521,5
53,412,31
22,1612,31
22,1561,32
80,3638,39
53,3031,21
22,4057,30
110,3742,85
22,1827,29
443,2944,5
22,688,9
22,55495,181
53,4744,27
53,1141,38
443,2556,2
443,3902,19
22,4028,11
443,660684,327
3306,1016,9
443,4582,9
22,3458,45
22,1421,40
443,462986,435
3306,3838,48
80,3220,3
443,2668,49
443,988,25
53,4928,50
3306,4271,33
53,4657,10
3306,1467,48
3306,532,39
443,1232,98
443,424635,453
443,4884,74
3306,777,20
3306,2360,48
22,433,19
22,986,10
53,3045,1
3306,890,7
443,332430,379
53,2857,43
80,4399,50
80,3585,48
3306,2286,9
3306,4511,45
443,367,21
443,773,44
80,2635,120
22,4212,34
22,53455,185
443,2476,10
443,3038,47
3306,4557,6
443,336291,597
80,1562,50
3306,2162,25
22,42168,204
443,459924,313
80,217272,1316
53,2973,27
3306,704,2
443,2262,35
53,4585,33
80,1432,44
3306,4711,3
22,40371,216
22,149,23
80,247933,1413
443,1140,47
80,263282,901
443,1648,21
80,136620,1209
443,2683,13
53,2099,3
443,2831,47
22,651,10
443,3300,43
53,1041,49
3306,1545,22
53,198,39
22,232,47
80,1630,10
443,3318,42
22,2543,68
22,1855,29
3306,3583,40
53,4130,36
22,1143,34
22,52618,231
22,1126,1
443,4417,30
80,3164,22
22,220,31
53,2186,4
80,2704,15
443,1878,47
22,4187,49
80,1108,73
22,2098,38
21,2070,117
3306,1582,29
443,3879,35
22,878,4
3306,2560,11
53,1129,19
3306,1324,26
25,1517,69
443,2357,42
22,932,44
443,769,44
3306,1281,4
443,390,43
80,4847,40
443,2871,11
443,3210,62
53,2234,48
53,3884,2
80,270833,1069
80,773,28
443,2227,41
80,693,41
3306,1789,44
443,1053,50
80,2689,30
80,3063,46
443,1831,43
22,2932,26
3306,3178,4
143,4273,84
22,2774,35
53,2016,8
443,2236,2
22,31807,195
80,3935,38
443,1267,32
80,4733,44
80,3044,19
443,2740,12
53,2632,34
22,3738,11
53,4101,24
80,697,22
443,690,4
53,2510,16
53,317,18
80,157870,1191
3306,2581,32
443,505622,358
80,4617,35
80,2551,8
80,276149,1099
80,2536,106
21,3831,103
80,1495,11
80,117045,1052
53,4707,26
80,4152,35
3306,4445,17
80,4217,23
80,798,1
22,106,33
53,1573,113
80,287917,1149
443,330769,478
53,3196,43
53,4622,47
22,3646,118
22,4511,95
80,1895,36
22,4221,16
22,613,44
443,2641,49
80,3075,8
22,2201,4
80,231394,1358
3306,576,19
80,178,4
3306,2101,8
22,3313,27
3306,3335,41
3306,1856,30
22,2315,29
3306,2450,2
53,1193,12
80,3719,30
80,671,24
443,3556,11
443,1652,37
3306,4263,19
80,587,17
443,390,19
22,34762,221
22,1041,12
22,2638,23
20,2560,96
443,1032,31
22,27007,227
22,3622,27
80,1634,11
22,2854,45
80,4169,48
143,2533,69
3306,3997,47
3306,1175,13
80,795,14
22,28443,184
3306,3324,8
80,2891,9
53,733,17
80,705,23
3306,3108,42
22,49100,189
80,1510,23
80,4061,39
80,4451,10
23,2562,72
53,400,40
22,2186,19
443,4376,36
443,3073,34
80,3583,39
80,4788,46
53,2251,29
22,981,31
53,3125,49
443,2881,35
80,143568,1053
53,3223,18
80,3744,32
3306,2547,12
22,52421,184
23,2171,110
22,636,22
3306,785,28
443,660336,613
80,3443,35
80,2777,6
443,200,25
3306,2728,29
443,312,27
53,2544,39
80,556,17
53,3249,47
22,4333,2
22,2298,44
53,525,17
443,1201,14
22,1872,32
22,1531,41
53,2011,12
53,3805,38
80,3642,19
53,4471,21
80,1720,7
53,271,20
22,3617,44
443,3864,47
3306,1964,11
22,3317,12
3306,3528,30
80,4148,23
53,146,47
3306,501,12
53,2517,35
80,4902,25
53,2103,27
3306,4097,37
53,2247,39
23,3725,75
443,3682,32
53,1288,14
3306,1966,28
22,2269,40
80,1144,37
443,1895,19
3306,3940,10
443,2513,45
443,3077,5
53,1647,18
53,314,50
80,694,29
53,1237,39
23,3060,93
80,137904,979
22,4702,1
53,3536,23
80,443,7
22,142,36
80,103743,978
80,2802,16
80,224331,1047
443,1365,13
80,267,49
80,3512,38
3306,1268,36
53,4548,16
443,4114,33
53,1559,35
443,4348,28
22,2210,18
3306,3822,44
3306,217,49
80,189039,1119
3306,3368,8
3306,164,13
22,2496,16
80,4705,21
22,4560,6
443,2285,26
80,146040,1439
80,113261,1396
443,1719,28
80,3878,19
443,4167,23
53,2622,48
80,186108,900
22,274,23
22,1540,32
21,3721,89
53,4705,44
3306,4276,13
53,2784,4
3306,4839,38
443,1756,44
80,245010,1412
3306,3425,42
110,3493,69
53,181,21
80,202163,991
22,48728,216
53,1502,43
22,2566,34
22,227,12
80,1913,14
443,395361,432
22,3245,14
443,966,11
80,1229,7
3306,3464,25
443,111,31
53,743,23
443,4638,9
3306,346,41
22,3289,7
22,1628,48
22,853,30
22,4667,49
443,1906,19
80,4274,46
443,4678,46
443,233,9
3306,2298,13
443,1449,46
22,1188,25
80,154762,1363
443,1486,6
22,53774,227
22,2664,23
53,2677,7
22,690,15
3306,4887,8
443,4405,15
22,3024,18
443,184,1
53,3269,16
443,1275,10
80,2763,31
80,1035,24
3306,3255,48
443,419184,399
3306,1608,16
80,865,32
443,1009,22
3306,872,41
53,1793,9
80,3938,23
443,3617,36
3306,1879,28
80,2008,43
80,4462,28
443,2902,27
443,4681,48
21,2890,74
443,1021,7
80,256091,1051
22,3092,7
22,2131,14
23,2327,86
53,3970,49
3306,3145,3
443,2617,11
443,319781,649
80,169472,929
22,48803,219
80,4430,9
443,1495,5
53,1096,43
22,48114,191
443,290,48
53,970,36
22,35327,216
3306,3130,29
22,2784,6
3306,4262,30
443,320284,502
53,492,1
53,417,5
443,3174,3
53,2905,14
443,332449,544
3306,107,33
53,2169,28
80,1462,46
80,625,23
80,4681,41
22,237,41
22,48695,211
53,2110,20
53,3618,7
22,1273,15
22,1580,12
80,3213,26
25,1188,80
80,446,11
80,1386,18
3306,4981,24
3306,1578,23
22,3965,20
